"id","screen name","sadness score","disgust score","anger score","surprise score","cantidad tweets"
"774727386","basicxxcaitlyn",0.12495373485355453,0.16327696703014319,0.14155671255003952,0.15624636071742887,1296
"318090914","dorsey_5",0.10709573154056838,0.45040799660584468,0.32392863811276346,0.20655063153081443,2536
"4825540994","bailee_marie_mc",0.082293560430436327,0.20129077131666359,0.1763178758425285,0.21415061206062638,177
"617631716","madisonathacker",0.11773367844727177,0.28119686071500694,0.19912712654735212,0.23485933504271281,1368
"3335977487","CloudyCanine",0.11174764656757173,0.2557013280396509,0.20015192709200663,0.26310276548309341,2619
"437153078","_SamVsTheWorld",0.098124630616400005,0.29382687787615269,0.22421114034066278,0.23908574512743289,2094
"744640808138072064","lxrree",0.13718804352499683,0.14413478271032915,0.18739468177027532,0.14426558923011246,521
"2609607548","shadical",0.13067593214331458,0.27274032188783592,0.27088814015801194,0.20860238178862847,5510
"28640565","kbc00per",0.1171266829025104,0.21262863897675821,0.21885841965731687,0.17941441226063753,2408
"1556713338","parrazserenity",0.19339217101586181,0.39309100456182955,0.36466430598240074,0.23850514338332315,370
"1126016748","sammay_b",0.13723594279968224,0.33706332932398569,0.33720308314572756,0.22604283458742719,2463
"3031819656","itsjustindiaaa",0.1561508254945656,0.24063673806851005,0.26568113184992048,0.12837735383229304,1711
"963571255","YungDreez_513",0.11832577385455829,0.15938233313720307,0.10222868270144103,0.15742593781243922,2550
"344371349","amourkaoir",0.085074853318057878,0.16872976523892841,0.17654540442283792,0.091980649678092927,1464
"1393400658","thatgirlkanisha",0.10212345974629983,0.20704939232858588,0.23853982014462718,0.1431757182294103,1627
"848787914192543744","WieBoth",0.1813238586387601,0.19557713445631078,0.2377232415294461,0.17326597246039499,194
"880851827004198914","saadteengiirl",0.15470495691312047,0.52838050532903225,0.70863725429221991,0.13863029986523639,8
"2523816821","parishighlife",0.084363185250692641,0.1336790816632803,0.16593834497516083,0.16519999325668247,2765
"731443025902084096","kvenissed",0.14264753197696259,0.062330438642386257,0.052215844983893415,0.11240244030100234,1322
"295918561","dontstephoverme",0.14914947514822305,0.29984613816800831,0.26053246019169435,0.15186934945293554,1858
"2946958695","RebekahhJM",0.11893401856181778,0.37964548777409413,0.24298672528508766,0.22759177334317121,2182
"441695020","ayolilmami",0.091428798427290348,0.35516271294618695,0.28050415113211435,0.19476179676216229,989
"315485988","llaaiikkyynn",0.10559804149297947,0.32290902561090401,0.31117266993435833,0.23319532488637842,101
"2764051327","gertrxde",0.20983287046124763,0.41126172175735426,0.48397357782750078,0.21279003892773624,3028
"837042510056677376","lonely_dag",0.070250140655249399,0.1336832571664186,0.11311030530626892,0.14312050115760788,424
"103668099","ch8tta",0.10388405842064746,0.21668349625557154,0.1862920923353866,0.18377652467758576,1291
"787163388304429056","gayrissa",0.19606740051270569,0.502230673605644,0.32787464321305615,0.31047568867353043,951
"2660012022","IrisNotIrish24",0.16031770626174341,0.28526013667945288,0.32684910613495766,0.18335371671050807,472
"3108030047","caitlinnwells",0.11300802264814754,0.23386049839185813,0.21155119028191452,0.15040512454685559,1130
"1018550059","steveningersol1",0.11107426947895316,0.2005844944955128,0.18528168275310192,0.18052756937142767,2112
"702040974","elizzabethkayy",0.14191622674873922,0.32444294036303445,0.32038615248961633,0.14781449631548504,1522
"372793968","Hayes_502",0.14231171255172856,0.3793390827685767,0.26352738634236889,0.18455215798783933,2669
"284337819","alyssalg93",0.14621089935731205,0.34530388434654669,0.26468386030328866,0.22049505770087577,2733
"1259524428","doragtz1999",0.19862727843338179,0.29745122953233666,0.38370191610234566,0.17057653978680057,1479
"1321331600","bmarsh2016",0.13459003358200283,0.28741667468682963,0.20164249955250046,0.20169349348224597,370
"20264925","MDinOK",0.098559130480995669,0.19513880073267845,0.12249173940692552,0.1705561819600305,1430
"512626354","thelife_ofkeke",0.15192620127952911,0.27816266757712016,0.31224722004983746,0.13430407801552532,2960
"1847864377","keatsy2112",0.083707499300599675,0.31008792451287043,0.16917533833637699,0.19002469715736053,3207
"2769189117","daddyrogo",0.13562017312963637,0.19127871898938528,0.17459916701519168,0.095896032455784555,1219
"882289915693871104","LifeSuckSmith",0.28986230251861184,0.16131662112585421,0.233898224068605,0.21761781449467327,54
"776528798141394944","TabithaRenea97",0.10257057012493266,0.18185316062730136,0.17919456122556171,0.1457860892610312,413
"1033491896","Chicatriste_",0.16123081147767812,0.39203047243335221,0.3611069567953436,0.26611433434644866,1391
"1858179882","Taylor1Savanna",0.15267425365666792,0.25371428624176223,0.26686205991882006,0.19410298552552152,523
